Index;Region;RSS
631;Tuamotu Archipelago Region;Tuamotu Archipelago Region
632;South Pacific Ocean;South Pacific Ocean
633;Lomonosov Ridge;Lomonosov Ridge
634;Arctic Ocean;Arctic Ocean
635;Near North Coast of Greenland;Near North Coast of Greenland
636;Eastern Greenland;Eastern Greenland
637;Iceland Region;Iceland Region
638;Iceland;Iceland
639;Jan Mayen Island Region;Jan Mayen Island Region
640;Greenland Sea;Greenland Sea
641;North of Svalbard;North of Svalbard
642;Norwegian Sea;Norwegian Sea
643;Svalbard Region;Svalbard Region
644;North of Franz Josef Land;North of Franz Josef Land
645;Franz Josef Land  Russia;Franz Josef Land
646;Northern Norway;Northern Norway
647;Barents Sea;Barents Sea
648;Novaya Zemlya  Russia;Novaya Zemlya
649;Kara Sea;Kara Sea
650;Near Coast of Western Siberia  Russia;Near Coast of Western Siberia
651;North of Severnaya Zemlya;North of Severnaya Zemlya
652;Severnaya Zemlya  Russia;Severnaya Zemlya
653;Near Coast of Central Siberia  Russia;Near Coast of Central Siberia
654;East of Severnaya Zemlya  Russia;East of Severnaya Zemlya
655;Laptev Sea;Laptev Sea
656;Southeastern Siberia  Russia;Southeastern Siberia
657;Eastern Russia-Northeastern China Border Region;Eastern Russia-Northeastern China Border Region
658;Northeastern China;Northeastern China
659;North Korea;North Korea
660;Sea of Japan;Sea of Japan
661;Primor'ye  Russia;Primor'ye
662;Sakhalin  Russia;Sakhalin
663;Sea of Okhotsk;Sea of Okhotsk
664;Southeastern China;Southeastern China
665;Yellow Sea;Yellow Sea
666;Off East Coast of Eastern China;Off East Coast of Eastern China
667;North of New Siberian Islands;North of New Siberian Islands
668;New Siberian Islands  Russia;New Siberian Islands
669;East Siberian Sea;East Siberian Sea
670;Near North Coast of Eastern Siberia;Near North Coast of Eastern Siberia
671;Eastern Siberia  Russia;Eastern Siberia
672;Chukchi Sea;Chukchi Sea
673;Bering Strait;Bering Strait
674;St. Lawrence Island  Alaska Region;St. Lawrence Island
675;Beaufort Sea;Beaufort Sea
676;Northern Alaska;Northern Alaska
677;Northern Yukon Territory  Canada;Northern Yukon Territory
678;Queen Elizabeth Islands  Canada;Queen Elizabeth Islands
679;Northwest Territories-Nunavut  Canada;Northwest Territories-Nunavut
680;Western Greenland;Western Greenland
681;Baffin Bay;Baffin Bay
682;Baffin Island Region  Canada;Baffin Island Region
683;Southeast Central Pacific Ocean;Southeast Central Pacific Ocean
684;Southern East Pacific Rise;Southern East Pacific Rise
685;Easter Island Region;Easter Island Region
686;West Chile Rise;West Chile Rise
687;Juan Fernandez Islands Region;Juan Fernandez Islands Region
688;East of North Island  New Zealand;East of North Island
689;Chatham Islands  New Zealand Region;Chatham Islands
690;South of Chatham Islands;South of Chatham Islands
691;Pacific-Antarctic Ridge;Pacific-Antarctic Ridge
692;Southern Pacific Ocean;Southern Pacific Ocean
756;Southeast of Easter Island;Southeast of Easter Island
693;East Central Pacific Ocean;East Central Pacific Ocean
694;Central East Pacific Rise;Central East Pacific Rise
695;West of Galápagos Islands;West of Galápagos Islands
696;Galápagos Islands Region;Galápagos Islands Region
697;Galápagos Islands  Ecuador;Galápagos Islands
698;Southwest of Galápagos Islands;Southwest of Galápagos Islands
699;Southeast of Galápagos Islands;Southeast of Galápagos Islands
757;Galápagos Triple Junction Region;Galápagos Triple Junction Region
700;South of Tasmania;South of Tasmania
701;West of Macquarie Island;West of Macquarie Island
702;Balleny Islands Region;Balleny Islands Region
703;Andaman Islands  India Region;Andaman Islands
704;Nicobar Islands  India Region;Nicobar Islands
705;Off West Coast of Northern Sumatra;Off West Coast of Northern Sumatra
706;Northern Sumatra  Indonesia;Northern Sumatra
707;Malay Peninsula;Malay Peninsula
708;Gulf of Thailand;Gulf of Thailand
709;Southeastern Afghanistan;Southeastern Afghanistan
710;Pakistan;Pakistan
711;Southwestern Kashmir;Southwestern Kashmir
712;India-Pakistan Border Region;India-Pakistan Border Region
713;Central Kazakhstan;Central Kazakhstan
714;Southeastern Uzbekistan;Southeastern Uzbekistan
715;Tajikistan;Tajikistan
716;Kyrgyzstan;Kyrgyzstan
717;Afghanistan-Tajikistan Border Region;Afghanistan-Tajikistan Border Region
718;Hindu Kush Region  Afghanistan;Hindu Kush Region
719;Tajikistan-Xinjiang Border Region;Tajikistan-Xinjiang Border Region
720;Northwestern Kashmir;Northwestern Kashmir
721;Finland;Finland
722;Norway-Russia Border Region;Norway-Russia Border Region
723;Finland-Russia Border Region;Finland-Russia Border Region
724;Baltic-Belarus-Northwestern Russia Region;Baltic-Belarus-Northwestern Russia Region
725;Northwestern Siberia  Russia;Northwestern Siberia
726;Northcentral Siberia  Russia;Northcentral Siberia
727;Victoria Land  Antarctica;Victoria Land
728;Ross Sea;Ross Sea
729;Antarctica;Antarctica
